Java HotSpot(TM) 64-Bit Server VM (25.211-b12) for windows-amd64 JRE (1.8.0_211-b12), built on Apr  1 2019 20:53:26 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16640612k(9323372k free), swap 16640612k(7519552k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2020-10-27T20:54:16.517+0800: 0.335: [GC (Allocation Failure) [PSYoungGen: 261691K->43518K(305664K)] 261691K->75745K(1005056K), 0.0144257 secs] [Times: user=0.02 sys=0.02, real=0.01 secs] 
2020-10-27T20:54:16.612+0800: 0.430: [GC (Allocation Failure) [PSYoungGen: 305662K->43513K(305664K)] 337889K->144040K(1005056K), 0.0186938 secs] [Times: user=0.03 sys=0.03, real=0.02 secs] 
2020-10-27T20:54:16.745+0800: 0.564: [GC (Allocation Failure) [PSYoungGen: 305657K->43504K(305664K)] 406184K->196250K(1005056K), 0.0254440 secs] [Times: user=0.03 sys=0.05, real=0.03 secs] 
2020-10-27T20:54:16.863+0800: 0.681: [GC (Allocation Failure) [PSYoungGen: 305648K->43517K(305664K)] 458394K->254290K(1005056K), 0.0206438 secs] [Times: user=0.05 sys=0.02, real=0.02 secs] 
2020-10-27T20:54:16.960+0800: 0.778: [GC (Allocation Failure) [PSYoungGen: 305661K->43511K(305664K)] 516434K->311368K(1005056K), 0.0154727 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:17.045+0800: 0.864: [GC (Allocation Failure) [PSYoungGen: 305655K->43519K(164352K)] 573512K->369257K(863744K), 0.0161260 secs] [Times: user=0.03 sys=0.03, real=0.02 secs] 
2020-10-27T20:54:17.097+0800: 0.916: [GC (Allocation Failure) [PSYoungGen: 164351K->72691K(193536K)] 490089K->400340K(892928K), 0.0083181 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:17.131+0800: 0.950: [GC (Allocation Failure) [PSYoungGen: 193160K->89396K(233472K)] 520808K->422447K(932864K), 0.0109041 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2020-10-27T20:54:17.179+0800: 0.997: [GC (Allocation Failure) [PSYoungGen: 206644K->96455K(232960K)] 539695K->449102K(932352K), 0.0127767 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2020-10-27T20:54:17.217+0800: 1.035: [GC (Allocation Failure) [PSYoungGen: 213703K->72260K(230912K)] 566350K->470650K(930304K), 0.0186619 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:17.272+0800: 1.090: [GC (Allocation Failure) [PSYoungGen: 188996K->35266K(232960K)] 587386K->492652K(932352K), 0.0132403 secs] [Times: user=0.02 sys=0.05, real=0.01 secs] 
2020-10-27T20:54:17.325+0800: 1.143: [GC (Allocation Failure) [PSYoungGen: 152002K->42153K(232960K)] 609388K->526695K(932352K), 0.0095446 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:17.372+0800: 1.190: [GC (Allocation Failure) [PSYoungGen: 158128K->40144K(232960K)] 642669K->558064K(932352K), 0.0099836 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:17.412+0800: 1.231: [GC (Allocation Failure) [PSYoungGen: 156880K->37657K(232960K)] 674800K->588549K(932352K), 0.0107219 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2020-10-27T20:54:17.447+0800: 1.266: [GC (Allocation Failure) [PSYoungGen: 154393K->36179K(232960K)] 705285K->617466K(932352K), 0.0090948 secs] [Times: user=0.02 sys=0.03, real=0.01 secs] 
2020-10-27T20:54:17.488+0800: 1.307: [GC (Allocation Failure) [PSYoungGen: 152675K->38660K(232960K)] 733963K->649000K(932352K), 0.0084142 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2020-10-27T20:54:17.532+0800: 1.351: [GC (Allocation Failure) [PSYoungGen: 155396K->29115K(232960K)] 765736K->669058K(932352K), 0.0078345 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:17.540+0800: 1.359: [Full GC (Ergonomics) [PSYoungGen: 29115K->0K(232960K)] [ParOldGen: 639943K->184026K(699392K)] 669058K->184026K(932352K), [Metaspace: 2700K->2700K(1056768K)], 0.0325039 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2020-10-27T20:54:17.612+0800: 1.431: [GC (Allocation Failure) [PSYoungGen: 116708K->39453K(232960K)] 300735K->223480K(932352K), 0.0042587 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:17.651+0800: 1.470: [GC (Allocation Failure) [PSYoungGen: 155785K->32942K(232960K)] 339812K->247978K(932352K), 0.0073188 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:17.684+0800: 1.502: [GC (Allocation Failure) [PSYoungGen: 149678K->37050K(232960K)] 364714K->278522K(932352K), 0.0072162 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:17.715+0800: 1.533: [GC (Allocation Failure) [PSYoungGen: 153786K->35246K(232960K)] 395258K->307513K(932352K), 0.0071773 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:17.778+0800: 1.596: [GC (Allocation Failure) [PSYoungGen: 151982K->34887K(232960K)] 424249K->336750K(932352K), 0.0079381 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:17.816+0800: 1.635: [GC (Allocation Failure) [PSYoungGen: 151623K->33620K(232960K)] 453486K->363956K(932352K), 0.0065415 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:17.845+0800: 1.664: [GC (Allocation Failure) [PSYoungGen: 149707K->39641K(240640K)] 480044K->397744K(940032K), 0.0068535 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:17.907+0800: 1.726: [GC (Allocation Failure) [PSYoungGen: 167129K->44228K(236032K)] 525232K->434116K(935424K), 0.0081956 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:17.941+0800: 1.759: [GC (Allocation Failure) [PSYoungGen: 171716K->43411K(250368K)] 561604K->468499K(949760K), 0.0078182 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:17.986+0800: 1.804: [GC (Allocation Failure) [PSYoungGen: 190355K->46467K(245760K)] 615443K->501901K(945152K), 0.0112695 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:18.051+0800: 1.869: [GC (Allocation Failure) [PSYoungGen: 193411K->42372K(259072K)] 648845K->531728K(958464K), 0.0091364 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:18.107+0800: 1.925: [GC (Allocation Failure) [PSYoungGen: 207236K->51610K(254976K)] 696592K->571523K(954368K), 0.0093918 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:18.162+0800: 1.981: [GC (Allocation Failure) [PSYoungGen: 216474K->55818K(262656K)] 736387K->614887K(962048K), 0.0100394 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:18.224+0800: 2.043: [GC (Allocation Failure) [PSYoungGen: 230922K->51101K(261632K)] 789991K->651016K(961024K), 0.0108721 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:18.274+0800: 2.093: [GC (Allocation Failure) [PSYoungGen: 226205K->52460K(267264K)] 826120K->692635K(966656K), 0.0101037 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:18.338+0800: 2.156: [GC (Allocation Failure) [PSYoungGen: 235756K->56871K(265216K)] 875931K->732654K(964608K), 0.0113560 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:18.349+0800: 2.168: [Full GC (Ergonomics) [PSYoungGen: 56871K->0K(265216K)] [ParOldGen: 675782K->187990K(699392K)] 732654K->187990K(964608K), [Metaspace: 2700K->2700K(1056768K)], 0.0236374 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T20:54:18.417+0800: 2.235: [GC (Allocation Failure) [PSYoungGen: 183296K->54818K(269312K)] 371286K->242808K(968704K), 0.0062216 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:18.466+0800: 2.284: [GC (Allocation Failure) [PSYoungGen: 242722K->50416K(267776K)] 430712K->273494K(967168K), 0.0114150 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:18.538+0800: 2.357: [GC (Allocation Failure) [PSYoungGen: 238320K->55398K(272896K)] 461398K->313111K(972288K), 0.0114514 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:18.598+0800: 2.417: [GC (Allocation Failure) [PSYoungGen: 250521K->49343K(271872K)] 508235K->346927K(971264K), 0.0115775 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:18.653+0800: 2.471: [GC (Allocation Failure) [PSYoungGen: 244927K->58230K(273920K)] 542511K->390270K(973312K), 0.0106550 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:18.707+0800: 2.526: [GC (Allocation Failure) [PSYoungGen: 257725K->57913K(274432K)] 589765K->429523K(973824K), 0.0100304 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:18.765+0800: 2.584: [GC (Allocation Failure) [PSYoungGen: 257119K->54726K(275968K)] 628729K->465687K(975360K), 0.0107710 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:18.830+0800: 2.649: [GC (Allocation Failure) [PSYoungGen: 255942K->60167K(274432K)] 666903K->507999K(973824K), 0.0098875 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:18.894+0800: 2.714: [GC (Allocation Failure) [PSYoungGen: 261383K->65628K(269824K)] 709215K->552024K(969216K), 0.0115259 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T20:54:18.975+0800: 2.794: [GC (Allocation Failure) [PSYoungGen: 261212K->54632K(272384K)] 747608K->586056K(971776K), 0.0167923 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
