Java HotSpot(TM) 64-Bit Server VM (25.211-b12) for windows-amd64 JRE (1.8.0_211-b12), built on Apr  1 2019 20:53:26 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16640612k(9345172k free), swap 16640612k(7550344k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2020-10-27T20:54:47.457+0800: 0.457: [GC (Allocation Failure) 2020-10-27T20:54:47.457+0800: 0.457: [DefNew: 559232K->69888K(629120K), 0.0559197 secs] 559232K->130350K(2027264K), 0.0560648 secs] [Times: user=0.06 sys=0.00, real=0.06 secs] 
2020-10-27T20:54:47.714+0800: 0.714: [GC (Allocation Failure) 2020-10-27T20:54:47.714+0800: 0.714: [DefNew: 629120K->69886K(629120K), 0.0616215 secs] 689582K->206282K(2027264K), 0.0616764 secs] [Times: user=0.00 sys=0.06, real=0.06 secs] 
2020-10-27T20:54:47.960+0800: 0.959: [GC (Allocation Failure) 2020-10-27T20:54:47.960+0800: 0.959: [DefNew: 629118K->69888K(629120K), 0.0419486 secs] 765514K->284692K(2027264K), 0.0420062 secs] [Times: user=0.03 sys=0.02, real=0.04 secs] 
2020-10-27T20:54:48.198+0800: 1.197: [GC (Allocation Failure) 2020-10-27T20:54:48.198+0800: 1.198: [DefNew: 629120K->69886K(629120K), 0.0425025 secs] 843924K->363215K(2027264K), 0.0425618 secs] [Times: user=0.03 sys=0.02, real=0.04 secs] 
2020-10-27T20:54:48.397+0800: 1.396: [GC (Allocation Failure) 2020-10-27T20:54:48.397+0800: 1.396: [DefNew: 629118K->69888K(629120K), 0.0422437 secs] 922447K->441453K(2027264K), 0.0423000 secs] [Times: user=0.03 sys=0.02, real=0.04 secs] 
2020-10-27T20:54:48.580+0800: 1.579: [GC (Allocation Failure) 2020-10-27T20:54:48.580+0800: 1.579: [DefNew: 629120K->69887K(629120K), 0.0433915 secs] 1000685K->524597K(2027264K), 0.0434466 secs] [Times: user=0.03 sys=0.02, real=0.04 secs] 
2020-10-27T20:54:48.789+0800: 1.788: [GC (Allocation Failure) 2020-10-27T20:54:48.789+0800: 1.788: [DefNew: 629060K->69887K(629120K), 0.0413587 secs] 1083770K->603271K(2027264K), 0.0414544 secs] [Times: user=0.03 sys=0.01, real=0.04 secs] 
2020-10-27T20:54:48.994+0800: 1.993: [GC (Allocation Failure) 2020-10-27T20:54:48.994+0800: 1.993: [DefNew: 629119K->69887K(629120K), 0.0437650 secs] 1162503K->687539K(2027264K), 0.0438198 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2020-10-27T20:54:49.174+0800: 2.174: [GC (Allocation Failure) 2020-10-27T20:54:49.174+0800: 2.174: [DefNew: 629119K->69887K(629120K), 0.0381021 secs] 1246771K->759332K(2027264K), 0.0381560 secs] [Times: user=0.02 sys=0.02, real=0.04 secs] 
2020-10-27T20:54:49.382+0800: 2.381: [GC (Allocation Failure) 2020-10-27T20:54:49.382+0800: 2.381: [DefNew: 629119K->69887K(629120K), 0.0397120 secs] 1318564K->834769K(2027264K), 0.0397659 secs] [Times: user=0.02 sys=0.03, real=0.04 secs] 
2020-10-27T20:54:49.583+0800: 2.583: [GC (Allocation Failure) 2020-10-27T20:54:49.583+0800: 2.583: [DefNew: 629119K->69888K(629120K), 0.0460417 secs] 1394001K->912266K(2027264K), 0.0461415 secs] [Times: user=0.03 sys=0.02, real=0.05 secs] 
